Rk,Tm,Year,Date,Time,LTime,Opp,Week,Game,Result,Total Yardage,O Plays,Y/P,D Plays,DY/P,TO
1,NYJ,2017,12/3/2017,1:00,1:00,KAN,13,12,W 38-31,488,85,5.7412,46,10.3043,
2,WAS,2014,11/30/2014,1:02,1:02,IND,13,12,L 27-49,425,74,5.7432,49,9.9388,1
3,BUF,2012,10/7/2012,4:25,1:25,SFO,5,5,L 3-45,204,46,4.4348,63,9.8571,2
4,DEN,2013,10/6/2013,4:25,3:25,DAL,5,5,W 51-48,517,73,7.0822,54,9.6667,2
5,OAK,2013,11/3/2013,4:05,1:05,PHI,9,8,L 20-49,560,92,6.087,57,9.5088,2
6,CLE,2016,10/23/2016,1:02,1:02,CIN,7,7,L 17-31,352,63,5.5873,61,9.1639,2
7,KAN,2012,10/14/2012,1:00,1:00,TAM,6,6,L 10-38,260,68,3.8235,51,9.0784,2
8,SDG,2013,9/15/2013,1:02,1:02,PHI,2,2,W 33-30,539,79,6.8228,58,9,2
9,KAN,2015,10/4/2015,1:03,1:03,CIN,4,4,L 21-36,461,73,6.3151,50,8.9,1
10,ARI,2014,12/21/2014,8:30,6:30,SEA,16,15,L 6-35,216,64,3.375,67,8.8955,1
11,CAR,2016,10/2/2016,1:04,1:04,ATL,4,4,L 33-48,378,64,5.9063,65,8.7846,2
12,SFO,2015,9/20/2015,1:02,1:02,PIT,2,2,L 18-43,409,82,4.9878,52,8.7115,1
13,NOR,2015,11/15/2015,1:05,1:05,WAS,10,10,L 14-47,350,55,6.3636,59,8.6441,2
14,PIT,2013,11/3/2013,4:25,4:25,NWE,9,8,L 31-55,479,73,6.5616,71,8.5915,3
15,NOR,2016,11/6/2016,4:05,1:05,SFO,9,8,W 41-23,571,82,6.9634,57,8.5263,
16,HOU,2015,10/25/2015,1:02,1:02,MIA,7,7,L 26-44,322,78,4.1282,59,8.5254,1
17,IND,2016,10/9/2016,1:02,1:02,CHI,5,5,W 29-23,396,65,6.0923,62,8.4194,
18,SFO,2016,12/18/2016,4:05,4:05,ATL,15,14,L 13-41,272,55,4.9455,66,8.3333,1
19,GNB,2016,11/20/2016,8:30,8:30,WAS,11,10,L 24-42,424,65,6.5231,62,8.3065,2
20,OAK,2016,10/9/2016,4:25,1:25,SDG,5,5,W 34-31,389,68,5.7206,51,8.2941,1
21,WAS,2013,9/15/2013,1:02,12:02,GNB,2,2,L 20-38,422,58,7.2759,70,8.2857,1
22,NWE,2017,9/7/2017,8:30,8:30,KAN,1,1,L 27-42,371,74,5.0135,65,8.2615,
23,OAK,2016,9/18/2016,4:25,1:25,ATL,2,2,L 28-35,454,71,6.3944,64,8.25,
24,WAS,2012,9/23/2012,1:03,1:03,CIN,3,3,L 31-38,381,74,5.1486,58,8.2414,1
25,MIA,2015,11/8/2015,1:02,1:02,BUF,9,8,L 17-33,397,62,6.4032,51,8.2353,1
26,NOR,2014,9/7/2014,1:03,1:03,ATL,1,1,L 34-37,472,70,6.7429,69,8.2319,2
27,BUF,2012,12/16/2012,4:05,4:05,SEA,15,14,L 17-50,333,67,4.9701,57,8.1754,3
28,OAK,2012,11/4/2012,4:05,1:05,TAM,9,8,L 32-42,424,75,5.6533,63,8.1746,3
29,NYG,2017,11/12/2017,4:25,1:25,SFO,10,9,L 21-31,374,63,5.9365,58,8.1724,1
30,CHI,2013,12/22/2013,8:30,8:30,PHI,16,15,L 11-54,257,63,4.0794,63,8.1587,2
31,KAN,2013,12/1/2013,4:26,3:26,DEN,13,12,L 28-35,452,67,6.7463,66,8.1061,1
32,WAS,2017,11/19/2017,1:00,12:00,NOR,11,10,L 31-34,456,67,6.806,66,8.1061,
33,ATL,2016,12/4/2016,1:00,1:00,KAN,13,12,L 28-29,418,66,6.3333,48,8.1042,1
34,DAL,2013,9/8/2013,8:30,7:30,NYG,1,1,W 36-31,331,74,4.473,59,8.1017,1
35,TAM,2017,11/26/2017,1:00,1:00,ATL,12,11,L 20-34,373,68,5.4853,64,8.0625,
36,NOR,2013,10/6/2013,1:02,12:02,CHI,5,5,W 26-18,347,65,5.3385,54,8.037,
